architecture,target,tier,group,timescale_ms,neuron_idx,probe_type,r2_trained,r2_untrained,delta_r2,selectivity,p_value,r2_null_mean,r2_null_std,block_size,tau_e,pearson_trained,pearson_untrained,diagnosis
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,2,ridge,0.6368991136550903,0.6585636734962463,-0.021664559841156,0.6356458324193954,0.0476190476190476,0.0012532812356948,0.0008577072534764,75,25,0.798498272895813,0.8115557432174683,STRUCTURAL
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,2,mlp_1,0.7307220697402954,0.6034512519836426,0.1272708177566528,0.6356458324193954,0.0476190476190476,0.0012532812356948,0.0008577072534764,75,25,0.8583971261978149,0.8012768030166626,NONLINEAR_ENCODING
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,2,mlp_2,0.7348046898841858,0.6172510981559753,0.1175535917282104,0.6356458324193954,0.0476190476190476,0.0012532812356948,0.0008577072534764,75,25,0.8644229769706726,0.8140720129013062,NONLINEAR_ENCODING
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,3,ridge,0.6252589464187622,0.6409224152565003,-0.015663468837738,0.6249642938375474,0.0476190476190476,0.0002946525812149,0.000657358552515,72,24,0.7910209894180298,0.800986111164093,STRUCTURAL
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,3,mlp_1,0.7487358450889587,0.6305103302001953,0.1182255148887634,0.6249642938375474,0.0476190476190476,0.0002946525812149,0.000657358552515,72,24,0.8694359064102173,0.8174507021903992,NONLINEAR_ENCODING
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,3,mlp_2,0.7507857084274292,0.681290864944458,0.0694948434829711,0.6249642938375474,0.0476190476190476,0.0002946525812149,0.000657358552515,72,24,0.8753987550735474,0.8505939245223999,NONLINEAR_ENCODING
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,4,ridge,0.6571180105209351,0.6660739064216614,-0.0089558959007263,0.6542083770036697,0.0476190476190476,0.0029096335172653,0.0013535987204699,81,27,0.8107183575630188,0.8163257837295532,STRUCTURAL
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,4,mlp_1,0.7772167921066284,0.6616338491439819,0.1155829429626464,0.6542083770036697,0.0476190476190476,0.0029096335172653,0.0013535987204699,81,27,0.8852896690368652,0.8312681913375854,NONLINEAR_ENCODING
lstm,tc_h_T_rank,3,tier3_shape_normalized,20.0,4,mlp_2,0.7708603143692017,0.6675677299499512,0.1032925844192504,0.6542083770036697,0.0476190476190476,0.0029096335172653,0.0013535987204699,81,27,0.8880417943000793,0.8421849012374878,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,0,ridge,0.637675428390503,0.579963207244873,0.0577122211456299,0.637667384147644,0.0476190476190476,8.044242858886724e-06,0.0004625492004372,54,18,0.798905611038208,0.7620563507080078,LINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,0,mlp_1,0.7258148193359375,0.5619584321975708,0.1638563871383667,0.637667384147644,0.0476190476190476,8.044242858886724e-06,0.0004625492004372,54,18,0.8541712760925293,0.7685510516166687,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,0,mlp_2,0.7148259282112122,0.5739390850067139,0.1408868432044983,0.637667384147644,0.0476190476190476,8.044242858886724e-06,0.0004625492004372,54,18,0.8530190587043762,0.7812796831130981,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,1,ridge,0.5325025677680969,0.5213496088981628,0.011152958869934,0.5326110935211181,0.0476190476190476,-0.0001085257530212,0.0004899726606348,54,18,0.7304558157920837,0.7228841781616211,STRUCTURAL
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,1,mlp_1,0.6493452191352844,0.4964619278907776,0.1528832912445068,0.5326110935211181,0.0476190476190476,-0.0001085257530212,0.0004899726606348,54,18,0.8092191815376282,0.7246540784835815,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,1,mlp_2,0.6549396514892578,0.5400382876396179,0.1149013638496398,0.5326110935211181,0.0476190476190476,-0.0001085257530212,0.0004899726606348,54,18,0.8179155588150024,0.7599128484725952,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,2,ridge,0.5083013296127319,0.5416156411170959,-0.033314311504364,0.5088476145267486,0.0476190476190476,-0.0005462849140167,0.0003144392453102,51,17,0.7140159606933594,0.7363005876541138,STRUCTURAL
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,2,mlp_1,0.6275112628936768,0.4665922522544861,0.1609190106391906,0.5088476145267486,0.0476190476190476,-0.0005462849140167,0.0003144392453102,51,17,0.7961639761924744,0.7029574513435364,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,2,mlp_2,0.6294467449188232,0.521205723285675,0.1082410216331482,0.5088476145267486,0.0476190476190476,-0.0005462849140167,0.0003144392453102,51,17,0.8030800819396973,0.7487757205963135,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,3,ridge,0.4975928544998169,0.4969896435737609,0.0006032109260559,0.4981012398004532,0.0476190476190476,-0.0005083853006362,0.0003729108700861,51,17,0.7061402201652527,0.7059639692306519,STRUCTURAL
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,3,mlp_1,0.6388263702392578,0.5023478269577026,0.1364785432815551,0.4981012398004532,0.0476190476190476,-0.0005083853006362,0.0003729108700861,51,17,0.8032265901565552,0.7310068607330322,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,3,mlp_2,0.6337655186653137,0.5031382441520691,0.1306272745132446,0.4981012398004532,0.0476190476190476,-0.0005083853006362,0.0003729108700861,51,17,0.8053579330444336,0.7383894920349121,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,4,ridge,0.543297004699707,0.5243611335754395,0.0189358711242675,0.5432644522190093,0.0476190476190476,3.2552480697631835e-05,0.0005719991323182,60,20,0.737621009349823,0.7250241041183472,STRUCTURAL
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,4,mlp_1,0.6641124486923218,0.5151289105415344,0.1489835381507873,0.5432644522190093,0.0476190476190476,3.2552480697631835e-05,0.0005719991323182,60,20,0.8189428448677063,0.7370023727416992,NONLINEAR_ENCODING
lstm,tc_m_h_rank,3,tier3_shape_normalized,100.0,4,mlp_2,0.6468878984451294,0.5445955991744995,0.1022922992706298,0.5432644522190093,0.0476190476190476,3.2552480697631835e-05,0.0005719991323182,60,20,0.8158056139945984,0.7632394433021545,NONLINEAR_ENCODING
