architecture,target,probe_type,tier,timescale_ms,n_neurons,r2_trained_mean,r2_trained_max,delta_r2_mean,selectivity_mean,n_significant,dominant_diagnosis,diagnosis_counts
lstm,tc_m_h_rank,mlp_2,3,100.0,5,0.6559731483459472,0.7148259282112122,0.11938976049423214,0.5440983568429946,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_m_h_rank,ridge,3,100.0,5,0.5438738369941711,0.637675428390503,0.011017990112304659,0.5440983568429946,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,tc_m_h_zscore,mlp_1,3,100.0,5,0.7207996487617493,0.7608305811882019,0.10511038303375242,0.5655301914215087,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,tc_m_h_zscore,mlp_2,3,100.0,5,0.7467090249061584,0.7829833626747131,0.04742885828018184,0.5655301914215087,5,NONLINEAR_ENCODING,"{'NONLINEAR_ENCODING': 3, 'STRUCTURAL': 2}"
lstm,tc_m_h_zscore,ridge,3,100.0,5,0.5666369462013245,0.6477721214294434,0.0011772656440734795,0.5655301914215087,5,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,G_T,mlp_1,1,5.0,5,-0.0109844802645966,0.0041838167235255,0.012761788931675202,0.01017909383773798,5,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,G_T,mlp_2,1,5.0,5,-0.00710693839937442,-0.002871036529541,0.015706510806921876,0.01017909383773798,5,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,G_T,ridge,1,5.0,5,0.014681715965270941,0.0235574841499328,0.0033073401451110193,0.01017909383773798,5,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,G_h,mlp_1,1,100.0,5,-0.2804706752300262,-0.1092140823602676,6.5330781757831575,0.00270325374603268,3,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,G_h,mlp_2,1,100.0,5,-1.7894832134246825,-0.5953839421272278,1.0019243478775024,0.00270325374603268,3,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,G_h,ridge,1,100.0,5,0.12624311208724973,0.1572991847991943,0.02106850862503046,0.00270325374603268,3,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,I_GABA_A,mlp_1,1,5.0,5,-0.17633315920829767,-0.1618444472551345,0.028195944428443864,0.0028418160676955797,3,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,I_GABA_A,mlp_2,1,5.0,5,-0.09834991395473476,-0.0917273536324501,-0.01058664619922634,0.0028418160676955797,3,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,I_GABA_A,ridge,1,5.0,5,0.09627544879913325,0.1113441824913024,0.02741648435592644,0.0028418160676955797,3,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,I_GABA_B,mlp_1,1,150.0,5,-0.36661596298217775,-0.3401478826999664,-0.00239972472190854,0.00123096740245818,4,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,I_GABA_B,mlp_2,1,150.0,5,-0.1923758268356323,-0.1718389242887497,-0.17878152821213003,0.00123096740245818,4,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,I_GABA_B,ridge,1,150.0,5,0.46798685789108274,0.4906466960906982,0.10701187849044795,0.00123096740245818,4,SPURIOUS,{'SPURIOUS': 5}
neural_ode,I_T,mlp_1,1,5.0,5,-0.019958548620343165,-0.0163512229919433,-0.020612649980466764,0.0100495462417602,5,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,I_T,mlp_2,1,5.0,5,-0.0017611288509215214,0.0042994739487767,-0.00959415189427086,0.0100495462417602,5,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,I_T,ridge,1,5.0,5,0.01407510519027704,0.0227347254753112,0.00284198760986326,0.0100495462417602,5,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,I_h,mlp_1,1,100.0,5,0.09963005483150478,0.1266151517629623,0.01554295867681498,0.00122200214862822,2,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,I_h,mlp_2,1,100.0,5,0.10020807534456248,0.1282524317502975,0.007853269577026338,0.00122200214862822,2,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,I_h,ridge,1,100.0,5,0.12767212152481075,0.1623568058013916,0.02197971582412714,0.00122200214862822,2,STRUCTURAL,{'STRUCTURAL': 5}
