architecture,target,tier,group,timescale_ms,neuron_idx,probe_type,r2_trained,r2_untrained,delta_r2,selectivity,p_value,r2_null_mean,r2_null_std,block_size,tau_e,pearson_trained,pearson_untrained
lstm,I_GABA_A,1,tier1_identifiable,5.0,4,mlp_1,-0.06012220308184624,-0.05204040929675102,-0.008081793785095215,0.14762819766998292,0.047619047619047616,0.08397674798965454,0.0019488710272555654,50,4,0.33408889174461365,0.16782763600349426
lstm,I_GABA_A,1,tier1_identifiable,5.0,4,mlp_2,0.19324681162834167,0.08299122005701065,0.11025559157133102,0.14762819766998292,0.047619047619047616,0.08397674798965454,0.0019488710272555654,50,4,0.4412148594856262,0.3079105019569397
lstm,I_GABA_B,1,tier1_identifiable,150.0,0,ridge,0.6192501306533813,0.6010017156600952,0.01824841499328611,0.09179591119289399,0.047619047619047616,0.5274542194604873,0.0016377370207256707,1500,500,0.7875704169273376,0.7764775156974792
lstm,I_GABA_B,1,tier1_identifiable,150.0,0,mlp_1,0.4905630052089691,0.27312636375427246,0.21743664145469666,0.09179591119289399,0.047619047619047616,0.5274542194604873,0.0016377370207256707,1500,500,0.713291347026825,0.6081104874610901
lstm,I_GABA_B,1,tier1_identifiable,150.0,0,mlp_2,0.598764955997467,0.5021543502807617,0.09661060571670532,0.09179591119289399,0.047619047619047616,0.5274542194604873,0.0016377370207256707,1500,500,0.7750378847122192,0.7109655737876892
lstm,I_GABA_B,1,tier1_identifiable,150.0,1,ridge,0.6277886629104614,0.6327118277549744,-0.0049231648445129395,0.10551486670970922,0.047619047619047616,0.5222737962007522,0.002957034372138895,1500,500,0.7921839356422424,0.7952762842178345
lstm,I_GABA_B,1,tier1_identifiable,150.0,1,mlp_1,0.48935723304748535,0.20043513178825378,0.28892210125923157,0.10551486670970922,0.047619047619047616,0.5222737962007522,0.002957034372138895,1500,500,0.7061691880226135,0.5789958238601685
lstm,I_GABA_B,1,tier1_identifiable,150.0,1,mlp_2,0.6027205586433411,0.5178101062774658,0.08491045236587524,0.10551486670970922,0.047619047619047616,0.5222737962007522,0.002957034372138895,1500,500,0.7775271534919739,0.7203725576400757
lstm,I_GABA_B,1,tier1_identifiable,150.0,2,ridge,0.5793959021568298,0.5734578132629394,0.005938088893890359,0.08283871829509731,0.047619047619047616,0.4965571838617325,0.002784247473688007,1500,500,0.7625077962875366,0.7586030960083008
lstm,I_GABA_B,1,tier1_identifiable,150.0,2,mlp_1,0.41828712821006775,0.2440371960401535,0.17424993216991425,0.08283871829509731,0.047619047619047616,0.4965571838617325,0.002784247473688007,1500,500,0.6607761979103088,0.5877900123596191
lstm,I_GABA_B,1,tier1_identifiable,150.0,2,mlp_2,0.5502800941467285,0.4777936041355133,0.07248649001121521,0.08283871829509731,0.047619047619047616,0.4965571838617325,0.002784247473688007,1500,500,0.744064450263977,0.692943274974823
lstm,I_GABA_B,1,tier1_identifiable,150.0,3,ridge,0.6328967332839965,0.6411986112594604,-0.00830187797546389,0.10349787294864665,0.047619047619047616,0.5293988603353499,0.002540950787544665,1500,500,0.7957244515419006,0.8011746406555176
lstm,I_GABA_B,1,tier1_identifiable,150.0,3,mlp_1,0.4713718295097351,0.2127426415681839,0.2586291879415512,0.10349787294864665,0.047619047619047616,0.5293988603353499,0.002540950787544665,1500,500,0.694146990776062,0.582003653049469
lstm,I_GABA_B,1,tier1_identifiable,150.0,3,mlp_2,0.594601035118103,0.5141424536705017,0.08045858144760132,0.10349787294864665,0.047619047619047616,0.5293988603353499,0.002540950787544665,1500,500,0.7734125256538391,0.7173962593078613
lstm,I_GABA_B,1,tier1_identifiable,150.0,4,ridge,0.6473888278007507,0.6620191335678101,-0.01463030576705937,0.09616022586822492,0.047619047619047616,0.5512286019325258,0.0029801957242955686,1500,500,0.8048807382583618,0.8137351870536804
lstm,I_GABA_B,1,tier1_identifiable,150.0,4,mlp_1,0.4778253138065338,0.21634840965270996,0.26147690415382385,0.09616022586822492,0.047619047619047616,0.5512286019325258,0.0029801957242955686,1500,500,0.7078222632408142,0.5976589918136597
lstm,I_GABA_B,1,tier1_identifiable,150.0,4,mlp_2,0.6167858839035034,0.556294858455658,0.06049102544784546,0.09616022586822492,0.047619047619047616,0.5512286019325258,0.0029801957242955686,1500,500,0.7869051694869995,0.7465437650680542
lstm,tc_m_T,2,tier2_individual_gates,1.0,0,ridge,0.6213829040527343,0.5649149537086486,0.05646795034408569,0.6004408276081085,0.047619047619047616,0.02094207644462585,0.001436675184748735,50,13,0.7886632084846497,0.7520241141319275
lstm,tc_m_T,2,tier2_individual_gates,1.0,0,mlp_1,0.6907667517662048,0.5731712579727173,0.11759549379348755,0.6004408276081085,0.047619047619047616,0.02094207644462585,0.001436675184748735,50,13,0.8321899175643921,0.7719125747680664
lstm,tc_m_T,2,tier2_individual_gates,1.0,0,mlp_2,0.699000358581543,0.6247910261154175,0.07420933246612549,0.6004408276081085,0.047619047619047616,0.02094207644462585,0.001436675184748735,50,13,0.8396827578544617,0.8057234883308411
lstm,tc_m_T,2,tier2_individual_gates,1.0,1,ridge,0.5233057498931885,0.5366990327835083,-0.013393282890319824,0.5016115969419479,0.047619047619047616,0.021694152951240542,0.0012224438550314817,50,13,0.7243900895118713,0.7331686615943909
